seq,name,description
01,show_id,Unique ID for every Movie / Tv Show
02,type,Identifier - A Movie or TV Show
03,title,Title of the Movie / Tv Show
04,director,Director of the Movie
05,cast,Actors involved in the movie / show
06,country,Country where the movie / show was produced
07,data_added,Date it was added on Netflix or Amazon Prime 
08,release_year,Actual Release year of the move / show
09,rating,TV Rating of the movie / show 
10,duration,Total Duration - in minutes or number of seasons
11,listed_in *, Categoies that movie/show was listed
12,description *, Resumo of movie/show